POSNumber,Name,Action,API_Status,API_Response_Content
180051,1 Piece,Update,200,"{""Header"":{""Success"":true,""MessageID"":""b6af921c-8c68-47de-aa1f-4f6c5fdb0b96"",""Statuses"":[]}}"
180088,100 OR PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""52715b55-1de5-4d05-8b3a-53b9ca596d8b"",""Statuses"":[]}}"
141125,Rasp Freeze,Update,200,"{""Header"":{""Success"":true,""MessageID"":""8e7068a0-face-400f-afe6-985becec349e"",""Statuses"":[]}}"
120009,Zinger® Crunch Twister®,Update,200,"{""Header"":{""Success"":true,""MessageID"":""9cb36514-d9e9-4a91-9780-572989819f73"",""Statuses"":[]}}"
141062,1.25L Pepsi Max,Update,200,"{""Header"":{""Success"":true,""MessageID"":""3dcb0d1f-ebc2-4ca4-a4b4-947f6e2d32d7"",""Statuses"":[]}}"
200038,2 Dipping Sauce,Update,200,"{""Header"":{""Success"":true,""MessageID"":""34e21579-f327-420f-8442-d7786dab6197"",""Statuses"":[]}}"
141016,Reg Sunkist,Update,200,"{""Header"":{""Success"":true,""MessageID"":""7e2bad79-564a-4b4b-8a5c-34b1f5a04fc5"",""Statuses"":[]}}"
141015,Lg Sunkist,Update,200,"{""Header"":{""Success"":true,""MessageID"":""03afe58f-a3df-4c44-834a-379058a38fda"",""Statuses"":[]}}"
141017,1.25L Sunkist,Update,200,"{""Header"":{""Success"":true,""MessageID"":""fc78d2ad-0fff-46e4-a83b-6af9b5a8c798"",""Statuses"":[]}}"
182012,Crispy Fillet,Update,200,"{""Header"":{""Success"":true,""MessageID"":""69a663c4-f201-44d3-b2bf-8c02ecc32ff4"",""Statuses"":[]}}"
182014,3 Hot & Crispy,Update,200,"{""Header"":{""Success"":true,""MessageID"":""f5043350-c783-4283-b24c-2fa8c88a00a1"",""Statuses"":[]}}"
141099,Pepsi Freeze,Update,200,"{""Header"":{""Success"":true,""MessageID"":""0557581a-62bb-4925-93bd-f465b8fbd364"",""Statuses"":[]}}"
170502,Zinger Fillet,Update,200,"{""Header"":{""Success"":true,""MessageID"":""f7c7ae93-f29f-46b8-b5cf-136bf1c73e69"",""Statuses"":[]}}"
100057,Double Tender,Update,200,"{""Header"":{""Success"":true,""MessageID"":""b1cb669e-8683-4066-b736-b856415c5f13"",""Statuses"":[]}}"
182000,Fillet Pc,Update,200,"{""Header"":{""Success"":true,""MessageID"":""94ad5d77-8816-47aa-afa2-23927cda1d46"",""Statuses"":[]}}"
100089,Orig Crispy B&C Burger,Update,200,"{""Header"":{""Success"":true,""MessageID"":""1249f474-f819-4e6b-9334-dd888bc4e1ff"",""Statuses"":[]}}"
180060,10 PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""932c5959-0693-4c3d-9580-1c534d8381f5"",""Statuses"":[]}}"
170504,2xZinger Pcs,Update,200,"{""Header"":{""Success"":true,""MessageID"":""e5df51b3-a248-45e0-bd10-9b94ab0dc432"",""Statuses"":[]}}"
120007,BBQ Slider,Update,200,"{""Header"":{""Success"":true,""MessageID"":""af1c65f7-6dc6-4746-a962-13c6eb3e71e6"",""Statuses"":[]}}"
136067,Zinger® Crunch Bowl,Update,200,"{""Header"":{""Success"":true,""MessageID"":""b7df0117-4eba-47a7-9257-c9f6b821527a"",""Statuses"":[]}}"
183049,4 OR Tenders,Update,200,"{""Header"":{""Success"":true,""MessageID"":""ed31f704-2f7c-4c51-b923-4ef537070c5d"",""Statuses"":[]}}"
180101,6 PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""cb92ceed-710f-4581-a346-662e5957de83"",""Statuses"":[]}}"
141124,Dew Freeze,Update,200,"{""Header"":{""Success"":true,""MessageID"":""8660127d-ca03-46ad-9d7c-b9cfa61774dc"",""Statuses"":[]}}"
120023,Nacho Twister,Update,200,"{""Header"":{""Success"":true,""MessageID"":""a796653c-ac8f-4a00-8a08-fc4b75cc4cd2"",""Statuses"":[]}}"
180033,15 PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""e5d8c630-dd1f-43ee-a579-2fe0f18f25fd"",""Statuses"":[]}}"
100088,Original Crispy Burger,Update,200,"{""Header"":{""Success"":true,""MessageID"":""47758285-7e77-421a-b53c-ca2bdb5be644"",""Statuses"":[]}}"
170608,2 Tenders,Update,200,"{""Header"":{""Success"":true,""MessageID"":""98141adf-6c24-4930-96bb-fa29e4518281"",""Statuses"":[]}}"
100260,Zinger Stacker,Update,200,"{""Header"":{""Success"":true,""MessageID"":""112c4d50-4fa3-4f0e-8dd9-67d677b20cc5"",""Statuses"":[]}}"
141013,Sparkling Water,Update,200,"{""Header"":{""Success"":true,""MessageID"":""89afe965-63cf-4436-82b8-b8eec7b5c5ae"",""Statuses"":[]}}"
181004,1 Wicked Wing,Update,200,"{""Header"":{""Success"":true,""MessageID"":""8dba6324-3572-4abe-8a22-06578fc81c71"",""Statuses"":[]}}"
183008,4 Tenders,Update,200,"{""Header"":{""Success"":true,""MessageID"":""8f274c67-ad76-44da-b905-c2b16cb29afc"",""Statuses"":[]}}"
170512,2xOC Fillets,Update,200,"{""Header"":{""Success"":true,""MessageID"":""b86b6a01-055a-4ad3-a9c5-848c519158a8"",""Statuses"":[]}}"
170707,3 Nuggets,Update,200,"{""Header"":{""Success"":true,""MessageID"":""4299b247-5e6f-45e1-abda-4db0b027045c"",""Statuses"":[]}}"
141029,1.25L 7Up,Update,200,"{""Header"":{""Success"":true,""MessageID"":""4b1c985e-5a95-4714-b7fa-eaceb5baee5c"",""Statuses"":[]}}"
100502,OC BBQ Stacker,Update,200,"{""Header"":{""Success"":true,""MessageID"":""6ac7f185-243b-47cf-9172-ad917507407d"",""Statuses"":[]}}"
141126,Lipton Iced Tea,Update,200,"{""Header"":{""Success"":true,""MessageID"":""30bc1369-fa72-4804-bef7-e31a88bd144f"",""Statuses"":[]}}"
100510,Zinger B&C Dup,Create,200,"{""Header"":{""Success"":true,""MessageID"":""6c297906-781c-4737-bbed-4b873c944bd5"",""Statuses"":[]}}"
141030,Reg Solo,Update,200,"{""Header"":{""Success"":true,""MessageID"":""50a9e770-d183-4595-930f-e26dc8f8e2e6"",""Statuses"":[]}}"
141031,Lg Solo,Update,200,"{""Header"":{""Success"":true,""MessageID"":""ad415799-8c6c-4cc2-b4b4-729a9204035d"",""Statuses"":[]}}"
141032,1.25L Solo,Update,200,"{""Header"":{""Success"":true,""MessageID"":""f3575f8c-c154-4616-ac88-7c647043c5b8"",""Statuses"":[]}}"
136056,ADD 2 Choc Mous,Update,200,"{""Header"":{""Success"":true,""MessageID"":""70d7c368-a276-4f2b-92ee-9ba527c62fe3"",""Statuses"":[]}}"
136064,Jalapeno Bowl,Update,200,"{""Header"":{""Success"":true,""MessageID"":""4dddb7eb-ff2b-474b-9a6d-540306818b75"",""Statuses"":[]}}"
136046,Dinner Roll,Update,200,"{""Header"":{""Success"":true,""MessageID"":""adc56132-6528-4878-927e-3d4e2dd8c5bb"",""Statuses"":[]}}"
136050,Chocolate Mousse,Update,200,"{""Header"":{""Success"":true,""MessageID"":""7824c49d-6740-4319-bf33-3a5d376799ff"",""Statuses"":[]}}"
181013,4 WWings,Update,200,"{""Header"":{""Success"":true,""MessageID"":""89dd2e12-8f8e-4f49-bbe8-5c3f7f60789a"",""Statuses"":[]}}"
100250,Zinger Burger,Update,200,"{""Header"":{""Success"":true,""MessageID"":""16c16cef-033e-4fc1-9e57-e62bcc867bd9"",""Statuses"":[]}}"
180085,125 HS PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""dba0b454-d159-43d5-b149-423999eb33e3"",""Statuses"":[]}}"
183032,100 OR Tenders,Update,200,"{""Header"":{""Success"":true,""MessageID"":""bb63cfc6-561f-4f6c-ae74-75bfb49a6ada"",""Statuses"":[]}}"
120008,Original Twist,Update,200,"{""Header"":{""Success"":true,""MessageID"":""406245e5-1dfc-4bee-a4be-4e1b596006ab"",""Statuses"":[]}}"
136025,Reg Potato & Gravy,Update,200,"{""Header"":{""Success"":true,""MessageID"":""1bbe61e5-5dbc-4309-a433-008754b7c1e3"",""Statuses"":[]}}"
136027,Lg Potato & Gravy,Update,200,"{""Header"":{""Success"":true,""MessageID"":""6d13054f-b52a-4912-bb4f-499dd44e58b1"",""Statuses"":[]}}"
136040,Reg Coleslaw,Update,200,"{""Header"":{""Success"":true,""MessageID"":""36fd7fba-be79-47fb-985e-e7bc8072a8ff"",""Statuses"":[]}}"
136045,Lg Coleslaw,Update,200,"{""Header"":{""Success"":true,""MessageID"":""614ceda4-0125-49f8-aec9-ea62f16240b4"",""Statuses"":[]}}"
136062,4 Rg Coleslaw,Update,200,"{""Header"":{""Success"":true,""MessageID"":""20672a58-3111-4695-b8e4-ab433fc40534"",""Statuses"":[]}}"
180076,10 PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""438a8cb9-4685-4d0f-a022-e3881985cd11"",""Statuses"":[]}}"
180066,21 PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""626bfb9f-cfa1-4ad3-9d7a-b50311de35c0"",""Statuses"":[]}}"
184005,18 Nuggets,Update,200,"{""Header"":{""Success"":true,""MessageID"":""1af52cbf-cf1b-4777-81c3-72bd2127f07d"",""Statuses"":[]}}"
100252,Zing Burger $5,Update,200,"{""Header"":{""Success"":true,""MessageID"":""0270c2cc-a76c-4523-91bd-106cd4d87b7e"",""Statuses"":[]}}"
120003,Original BBQ Slider,Update,200,"{""Header"":{""Success"":true,""MessageID"":""bd65fc0c-212a-4ee9-99aa-e4adc029ed4d"",""Statuses"":[]}}"
183001,3 Tenders,Update,200,"{""Header"":{""Success"":true,""MessageID"":""6a326786-e242-47e3-ae91-f51829a707ad"",""Statuses"":[]}}"
141070,Water 600mL,Update,200,"{""Header"":{""Success"":true,""MessageID"":""7c3ef9f0-59ee-4d8a-a6cb-d849e3a93bed"",""Statuses"":[]}}"
141076,Apple Juice,Update,200,"{""Header"":{""Success"":true,""MessageID"":""ca29712a-89ac-4c4e-bacf-d19358b311eb"",""Statuses"":[]}}"
183002,5 Tenders,Update,200,"{""Header"":{""Success"":true,""MessageID"":""40dee2c2-2ad7-45d0-bb47-3d0d92c676c3"",""Statuses"":[]}}"
136015,Large Chips,Update,200,"{""Header"":{""Success"":true,""MessageID"":""8286b138-273e-4cad-b61c-ce35b36108da"",""Statuses"":[]}}"
136005,Regular Chips,Update,200,"{""Header"":{""Success"":true,""MessageID"":""1eeb7afc-e6cb-4372-88a3-551776375eee"",""Statuses"":[]}}"
136008,Portion Chips,Update,200,"{""Header"":{""Success"":true,""MessageID"":""0b9507f8-9b0f-4330-b494-78ff9e956ec9"",""Statuses"":[]}}"
141020,Reg Mt Dew,Update,200,"{""Header"":{""Success"":true,""MessageID"":""1e91ea2e-45f7-4ba9-9ab0-e6f7e81a8df1"",""Statuses"":[]}}"
141025,Lg Mt Dew,Update,200,"{""Header"":{""Success"":true,""MessageID"":""4ad55a96-e430-4963-83c9-8df06b6986c2"",""Statuses"":[]}}"
141026,1.25L Mt Dew,Update,200,"{""Header"":{""Success"":true,""MessageID"":""8b8bb8ec-7990-4d0a-86b9-fff911b438d2"",""Statuses"":[]}}"
170709,10 Nuggets,Update,200,"{""Header"":{""Success"":true,""MessageID"":""c5887f96-f2e0-4ead-82d6-fc8a1ba2b044"",""Statuses"":[]}}"
100561,10 Tenders,Create,400,"{""Header"":{""Success"":false,""MessageID"":""ad6bb450-1c17-416a-83c0-b7442e9a8fc5"",""Statuses"":[{""ErrorCode"":""Common.EntityAlreadyExists"",""Message"":""Menu item 10 Tenders already exists. [Request: ad6bb450-1c17-416a-83c0-b7442e9a8fc5, Correlation: ad6bb450-1c17-416a-83c0-b7442e9a8fc5, Item: e0297f8f-3c4a-4314-8474-ecfbd76ecafd, ItemID: '', ItemName: '10 Tenders']"",""Level"":""Error"",""UniqueIDs"":[""212f2004-c6f4-4165-8317-251f57ce9612"",""e0297f8f-3c4a-4314-8474-ecfbd76ecafd""],""Backend"":""CFC"",""CustomData"":[""10 Tenders"",""1""],""EntityPath"":""MenuItem""}]}}"
141066,1.25L Solo,Update,200,"{""Header"":{""Success"":true,""MessageID"":""310b1ea1-95b3-4c37-9770-8d5659b56636"",""Statuses"":[]}}"
182008,2 Zing Fillets,Update,200,"{""Header"":{""Success"":true,""MessageID"":""32f63145-4525-4ff2-a0bf-5deea050fcbc"",""Statuses"":[]}}"
181002,10 Wicked Wings,Update,200,"{""Header"":{""Success"":true,""MessageID"":""7b69c751-9b7b-4330-b678-ee0fb738221a"",""Statuses"":[]}}"
100559,Zinger Chipster1,Update,200,"{""Header"":{""Success"":true,""MessageID"":""fbe7d6ab-3943-4f5f-a2a2-f04cabf5369d"",""Statuses"":[]}}"
